,NO_1,NO_2,NO_3,NO_4,NO_5
2019-01-01 00:00:00+01:00,48.77,48.77,45.36,45.36,48.77
2019-01-01 01:00:00+01:00,49.25,49.25,45.31,45.31,49.25
2019-01-01 02:00:00+01:00,49.17,49.17,45.37,45.37,49.17
2019-01-01 03:00:00+01:00,48.37,48.37,45.21,45.21,48.37
2019-01-01 04:00:00+01:00,47.19,47.19,44.9,44.9,47.19
2019-01-01 05:00:00+01:00,47.37,47.37,45.16,45.16,47.37
2019-01-01 06:00:00+01:00,48.16,48.16,46.17,46.17,48.16
2019-01-01 07:00:00+01:00,49.09,49.09,46.1,46.1,49.09
2019-01-01 08:00:00+01:00,47.63,47.63,45.75,45.75,47.63
2019-01-01 09:00:00+01:00,47.99,47.99,46.01,46.01,47.99
2019-01-01 10:00:00+01:00,49.2,49.2,46.92,46.92,49.2
2019-01-01 11:00:00+01:00,49.39,49.39,47.36,47.36,49.39
2019-01-01 12:00:00+01:00,49.2,49.2,47.55,47.55,49.2
2019-01-01 13:00:00+01:00,49.13,49.13,47.71,47.71,49.13
2019-01-01 14:00:00+01:00,48.33,48.33,47.8,47.8,48.33
2019-01-01 15:00:00+01:00,48.45,48.45,48.08,48.08,48.45
2019-01-01 16:00:00+01:00,48.98,48.98,48.13,48.13,48.98
2019-01-01 17:00:00+01:00,49.45,49.45,48.15,48.15,49.45
2019-01-01 18:00:00+01:00,48.89,48.89,48.05,48.05,48.89
2019-01-01 19:00:00+01:00,48.91,48.91,47.76,47.76,48.91
2019-01-01 20:00:00+01:00,49.31,49.31,47.67,47.67,49.31
2019-01-01 21:00:00+01:00,49.1,49.1,47.57,47.57,49.1
2019-01-01 22:00:00+01:00,49.42,49.42,47.48,47.48,49.42
2019-01-01 23:00:00+01:00,49.12,49.12,47.21,47.21,49.12
2019-01-02 00:00:00+01:00,49.16,49.16,47.09,47.09,49.16
2019-01-02 01:00:00+01:00,48.14,48.14,47.15,47.15,48.14
2019-01-02 02:00:00+01:00,48.14,48.14,46.97,46.97,48.14
2019-01-02 03:00:00+01:00,47.24,47.24,47.1,47.1,47.24
2019-01-02 04:00:00+01:00,47.53,47.53,47.22,47.22,47.53
2019-01-02 05:00:00+01:00,47.98,47.98,47.62,47.62,47.98
2019-01-02 06:00:00+01:00,49.44,49.44,47.95,47.95,49.44
2019-01-02 07:00:00+01:00,50.11,50.11,49.64,49.64,50.11
2019-01-02 08:00:00+01:00,50.74,50.74,49.96,49.96,50.74
2019-01-02 09:00:00+01:00,50.74,50.74,50.74,50.74,50.74
2019-01-02 10:00:00+01:00,50.69,50.69,49.99,49.99,50.69
2019-01-02 11:00:00+01:00,50.27,50.27,50.25,50.25,50.27
2019-01-02 12:00:00+01:00,49.94,49.94,49.94,49.94,49.94
2019-01-02 13:00:00+01:00,50.11,50.11,49.97,49.97,50.11
2019-01-02 14:00:00+01:00,50.93,50.93,50.93,50.93,50.93
2019-01-02 15:00:00+01:00,52.38,52.38,52.38,52.38,52.38
2019-01-02 16:00:00+01:00,54.67,54.67,54.67,54.67,54.67
2019-01-02 17:00:00+01:00,55.58,55.58,55.58,55.58,55.58
2019-01-02 18:00:00+01:00,55.39,55.39,55.39,55.39,55.39
2019-01-02 19:00:00+01:00,54.9,54.9,54.9,54.9,54.9
2019-01-02 20:00:00+01:00,53.86,53.86,53.86,53.86,53.86
2019-01-02 21:00:00+01:00,52.71,52.71,52.71,52.71,52.71
2019-01-02 22:00:00+01:00,52.09,52.09,52.09,52.09,52.09
2019-01-02 23:00:00+01:00,50.76,50.76,50.76,50.76,50.76
2019-01-03 00:00:00+01:00,50.03,50.03,49.8,49.8,50.03
2019-01-03 01:00:00+01:00,48.89,48.89,48.89,48.89,48.89
2019-01-03 02:00:00+01:00,48.31,48.31,48.31,48.31,48.31
2019-01-03 03:00:00+01:00,48.4,48.4,48.4,48.4,48.4
2019-01-03 04:00:00+01:00,48.79,48.79,48.79,48.79,48.79
2019-01-03 05:00:00+01:00,49.61,49.61,49.61,49.61,49.61
2019-01-03 06:00:00+01:00,51.17,51.17,51.17,51.17,51.17
2019-01-03 07:00:00+01:00,53.91,53.91,53.91,53.91,53.91
2019-01-03 08:00:00+01:00,58.86,58.86,54.96,54.96,56.67
2019-01-03 09:00:00+01:00,59.14,59.14,54.27,54.27,56.76
2019-01-03 10:00:00+01:00,58.19,58.19,53.79,53.79,56.78
2019-01-03 11:00:00+01:00,61.47,61.47,53.25,53.25,56.68
2019-01-03 12:00:00+01:00,62.0,62.0,53.15,53.15,56.62
2019-01-03 13:00:00+01:00,63.12,63.12,52.61,52.61,56.6
2019-01-03 14:00:00+01:00,63.67,63.67,52.63,52.63,56.61
2019-01-03 15:00:00+01:00,66.13,66.13,52.69,52.69,56.67
2019-01-03 16:00:00+01:00,68.41,68.41,52.85,52.85,56.73
2019-01-03 17:00:00+01:00,69.55,69.55,52.58,52.58,56.66
2019-01-03 18:00:00+01:00,65.67,65.67,52.23,52.23,56.57
2019-01-03 19:00:00+01:00,61.51,61.51,52.33,52.33,56.53
2019-01-03 20:00:00+01:00,56.04,56.04,53.34,53.34,56.04
2019-01-03 21:00:00+01:00,54.44,54.44,54.07,54.07,54.44
2019-01-03 22:00:00+01:00,52.09,52.09,52.09,52.09,52.09
2019-01-03 23:00:00+01:00,49.98,49.98,49.98,49.98,49.98
2019-01-04 00:00:00+01:00,49.98,49.98,49.87,49.87,49.98
2019-01-04 01:00:00+01:00,48.67,48.67,47.97,47.97,48.67
2019-01-04 02:00:00+01:00,47.71,47.71,47.07,47.07,47.71
2019-01-04 03:00:00+01:00,47.64,47.64,47.05,47.05,47.64
2019-01-04 04:00:00+01:00,47.43,47.43,47.43,47.43,47.43
2019-01-04 05:00:00+01:00,48.58,48.58,48.58,48.58,48.58
2019-01-04 06:00:00+01:00,50.87,50.87,50.87,50.87,50.87
2019-01-04 07:00:00+01:00,52.32,52.32,51.96,51.96,52.32
2019-01-04 08:00:00+01:00,54.44,54.44,52.61,52.61,54.44
2019-01-04 09:00:00+01:00,54.18,54.18,53.19,53.19,54.18
2019-01-04 10:00:00+01:00,53.9,53.9,53.53,53.53,53.9
2019-01-04 11:00:00+01:00,53.01,53.01,53.01,53.01,53.01
2019-01-04 12:00:00+01:00,51.74,51.74,51.74,51.74,51.74
2019-01-04 13:00:00+01:00,51.6,51.6,51.6,51.6,51.6
2019-01-04 14:00:00+01:00,51.41,51.41,51.41,51.41,51.41
2019-01-04 15:00:00+01:00,51.69,51.69,51.69,51.69,51.69
2019-01-04 16:00:00+01:00,52.59,52.59,52.59,52.59,52.59
2019-01-04 17:00:00+01:00,53.34,53.34,53.34,53.34,53.34
2019-01-04 18:00:00+01:00,52.81,52.81,52.81,52.81,52.81
2019-01-04 19:00:00+01:00,51.79,51.79,51.79,51.79,51.79
2019-01-04 20:00:00+01:00,51.04,51.04,51.04,51.04,51.04
2019-01-04 21:00:00+01:00,50.45,50.45,50.45,50.45,50.45
2019-01-04 22:00:00+01:00,49.79,49.79,49.79,49.79,49.79
2019-01-04 23:00:00+01:00,49.02,49.02,49.02,49.02,49.02
2019-01-05 00:00:00+01:00,48.42,48.42,48.42,48.42,48.42
2019-01-05 01:00:00+01:00,47.52,47.52,47.52,47.52,47.52
2019-01-05 02:00:00+01:00,47.19,47.19,47.19,47.19,47.19
2019-01-05 03:00:00+01:00,47.0,47.0,47.0,47.0,47.0
2019-01-05 04:00:00+01:00,47.01,47.01,47.01,47.01,47.01
2019-01-05 05:00:00+01:00,47.33,47.33,47.33,47.33,47.33
2019-01-05 06:00:00+01:00,47.59,47.59,47.59,47.59,47.59
2019-01-05 07:00:00+01:00,48.22,48.22,48.22,48.22,48.22
2019-01-05 08:00:00+01:00,49.99,49.99,49.99,49.99,49.99
2019-01-05 09:00:00+01:00,50.73,50.73,50.73,50.73,50.73
2019-01-05 10:00:00+01:00,50.93,50.93,50.93,50.93,50.93
2019-01-05 11:00:00+01:00,51.02,51.02,51.02,51.02,51.02
2019-01-05 12:00:00+01:00,51.36,51.36,51.36,51.36,51.36
2019-01-05 13:00:00+01:00,51.74,51.74,51.74,51.74,51.74
2019-01-05 14:00:00+01:00,51.92,51.92,51.92,51.92,51.92
2019-01-05 15:00:00+01:00,53.22,53.22,53.22,53.22,53.22
2019-01-05 16:00:00+01:00,55.26,55.26,55.26,55.26,55.26
2019-01-05 17:00:00+01:00,55.87,55.87,55.87,55.87,55.87
2019-01-05 18:00:00+01:00,55.26,55.26,55.26,55.26,55.26
2019-01-05 19:00:00+01:00,53.8,53.8,53.8,53.8,53.8
2019-01-05 20:00:00+01:00,52.75,52.75,52.75,52.75,52.75
2019-01-05 21:00:00+01:00,51.9,51.9,51.9,51.9,51.9
2019-01-05 22:00:00+01:00,51.13,51.13,51.13,51.13,51.13
2019-01-05 23:00:00+01:00,50.21,50.21,50.21,50.21,50.21
2019-01-06 00:00:00+01:00,50.29,50.29,50.29,50.29,50.29
2019-01-06 01:00:00+01:00,49.03,49.03,49.03,49.03,49.03
2019-01-06 02:00:00+01:00,48.81,48.81,48.81,48.81,48.81
2019-01-06 03:00:00+01:00,48.66,48.66,48.66,48.66,48.66
2019-01-06 04:00:00+01:00,47.82,47.82,47.82,47.82,47.82
2019-01-06 05:00:00+01:00,48.72,48.72,48.72,48.72,48.72
2019-01-06 06:00:00+01:00,49.38,49.38,49.38,49.38,49.38
2019-01-06 07:00:00+01:00,49.65,49.65,49.65,49.65,49.65
2019-01-06 08:00:00+01:00,50.44,50.44,50.44,50.44,50.44
2019-01-06 09:00:00+01:00,51.68,51.68,51.68,51.68,51.68
2019-01-06 10:00:00+01:00,52.35,52.35,52.35,52.35,52.35
2019-01-06 11:00:00+01:00,52.77,52.77,52.77,52.77,52.77
2019-01-06 12:00:00+01:00,52.86,52.86,52.86,52.86,52.86
2019-01-06 13:00:00+01:00,52.44,52.44,52.44,52.44,52.44
2019-01-06 14:00:00+01:00,51.52,51.52,51.52,51.52,51.52
2019-01-06 15:00:00+01:00,51.57,51.57,51.57,51.57,51.57
2019-01-06 16:00:00+01:00,53.28,53.28,53.28,53.28,53.28
2019-01-06 17:00:00+01:00,55.25,55.25,53.41,53.41,55.25
2019-01-06 18:00:00+01:00,54.25,54.25,53.09,53.09,54.25
2019-01-06 19:00:00+01:00,52.9,52.9,52.62,52.62,52.9
2019-01-06 20:00:00+01:00,51.95,51.95,51.95,51.95,51.95
2019-01-06 21:00:00+01:00,51.57,51.57,51.57,51.57,51.57
2019-01-06 22:00:00+01:00,50.71,50.71,50.71,50.71,50.71
2019-01-06 23:00:00+01:00,50.23,50.23,49.94,49.94,50.23
2019-01-07 00:00:00+01:00,48.62,48.62,48.62,48.62,48.62
2019-01-07 01:00:00+01:00,48.14,48.14,47.98,47.98,48.14
2019-01-07 02:00:00+01:00,48.16,48.16,47.84,47.84,48.16
2019-01-07 03:00:00+01:00,47.63,47.63,46.96,46.96,47.63
2019-01-07 04:00:00+01:00,48.09,48.09,48.09,48.09,48.09
2019-01-07 05:00:00+01:00,49.98,49.98,49.87,49.87,49.98
2019-01-07 06:00:00+01:00,52.74,52.74,52.74,52.74,52.74
2019-01-07 07:00:00+01:00,56.79,56.79,52.95,52.95,56.79
2019-01-07 08:00:00+01:00,57.94,57.94,53.44,53.44,57.94
2019-01-07 09:00:00+01:00,56.9,56.9,53.45,53.45,56.9
2019-01-07 10:00:00+01:00,56.28,56.28,53.49,53.49,56.28
2019-01-07 11:00:00+01:00,55.56,55.56,53.62,53.62,55.56
2019-01-07 12:00:00+01:00,55.14,55.14,53.67,53.67,55.14
2019-01-07 13:00:00+01:00,54.16,54.16,53.86,53.86,54.16
2019-01-07 14:00:00+01:00,53.73,53.73,53.73,53.73,53.73
2019-01-07 15:00:00+01:00,53.25,53.25,53.25,53.25,53.25
2019-01-07 16:00:00+01:00,53.26,53.26,53.26,53.26,53.26
2019-01-07 17:00:00+01:00,53.0,52.41,53.0,53.0,53.0
2019-01-07 18:00:00+01:00,51.32,51.2,51.32,51.32,51.32
2019-01-07 19:00:00+01:00,50.89,50.72,50.89,50.89,50.89
2019-01-07 20:00:00+01:00,50.6,50.6,50.6,50.6,50.6
2019-01-07 21:00:00+01:00,50.03,50.03,50.03,50.03,50.03
2019-01-07 22:00:00+01:00,49.11,49.11,49.11,49.11,49.11
2019-01-07 23:00:00+01:00,47.95,47.95,46.75,46.75,47.95
2019-01-08 00:00:00+01:00,47.37,47.37,46.94,46.94,47.37
2019-01-08 01:00:00+01:00,47.07,47.07,46.34,46.34,47.07
2019-01-08 02:00:00+01:00,46.3,46.3,46.24,46.24,46.3
2019-01-08 03:00:00+01:00,46.28,46.28,46.28,46.28,46.28
2019-01-08 04:00:00+01:00,46.7,46.7,46.7,46.7,46.7
2019-01-08 05:00:00+01:00,47.86,47.86,47.86,47.86,47.86
2019-01-08 06:00:00+01:00,50.08,50.08,50.08,50.08,50.08
2019-01-08 07:00:00+01:00,51.31,51.31,51.31,51.31,51.31
2019-01-08 08:00:00+01:00,51.7,51.7,51.7,51.7,51.7
2019-01-08 09:00:00+01:00,51.48,51.48,51.48,51.48,51.48
2019-01-08 10:00:00+01:00,51.48,51.48,51.48,51.48,51.48
2019-01-08 11:00:00+01:00,51.21,51.21,51.21,51.21,51.21
2019-01-08 12:00:00+01:00,50.88,50.88,50.88,50.88,50.88
2019-01-08 13:00:00+01:00,50.63,50.63,50.63,50.63,50.63
2019-01-08 14:00:00+01:00,50.7,50.7,50.7,50.7,50.7
2019-01-08 15:00:00+01:00,50.69,50.69,50.69,50.69,50.69
2019-01-08 16:00:00+01:00,51.15,51.15,51.15,51.15,51.15
2019-01-08 17:00:00+01:00,51.05,51.05,51.05,51.05,51.05
2019-01-08 18:00:00+01:00,50.62,50.62,50.62,50.62,50.62
2019-01-08 19:00:00+01:00,49.98,49.98,49.98,49.98,49.98
2019-01-08 20:00:00+01:00,49.71,49.71,49.71,49.71,49.71
2019-01-08 21:00:00+01:00,49.49,49.49,49.49,49.49,49.49
2019-01-08 22:00:00+01:00,49.03,49.03,49.03,49.03,49.03
2019-01-08 23:00:00+01:00,48.27,48.27,46.45,46.45,48.27
2019-01-09 00:00:00+01:00,46.92,46.92,45.75,45.75,46.92
2019-01-09 01:00:00+01:00,46.74,46.74,44.41,44.41,46.74
2019-01-09 02:00:00+01:00,46.54,46.54,43.87,43.87,46.54
2019-01-09 03:00:00+01:00,46.48,46.48,43.93,43.93,46.48
2019-01-09 04:00:00+01:00,46.37,46.37,45.55,45.55,46.37
2019-01-09 05:00:00+01:00,48.03,48.03,48.03,48.03,48.03
2019-01-09 06:00:00+01:00,49.46,49.46,49.46,49.46,49.46
2019-01-09 07:00:00+01:00,50.74,50.74,50.74,50.74,50.74
2019-01-09 08:00:00+01:00,50.98,50.98,50.98,50.98,50.98
2019-01-09 09:00:00+01:00,50.94,50.94,50.94,50.94,50.94
2019-01-09 10:00:00+01:00,51.02,51.02,51.02,51.02,51.02
2019-01-09 11:00:00+01:00,50.96,50.96,50.96,50.96,50.96
2019-01-09 12:00:00+01:00,50.76,50.76,50.76,50.76,50.76
2019-01-09 13:00:00+01:00,50.69,50.69,50.69,50.69,50.69
2019-01-09 14:00:00+01:00,50.88,50.88,50.88,50.88,50.88
2019-01-09 15:00:00+01:00,51.42,51.42,51.42,51.42,51.42
2019-01-09 16:00:00+01:00,53.69,53.69,53.69,53.69,53.69
2019-01-09 17:00:00+01:00,54.59,54.59,54.59,54.59,54.59
2019-01-09 18:00:00+01:00,54.19,54.19,54.19,54.19,54.19
2019-01-09 19:00:00+01:00,54.19,54.19,54.19,54.19,54.19
2019-01-09 20:00:00+01:00,52.98,52.98,52.98,52.98,52.98
2019-01-09 21:00:00+01:00,51.68,51.68,51.68,51.68,51.68
2019-01-09 22:00:00+01:00,50.96,50.96,50.96,50.96,50.96
2019-01-09 23:00:00+01:00,49.96,49.96,49.96,49.96,49.96
2019-01-10 00:00:00+01:00,50.51,50.51,50.21,50.21,50.51
2019-01-10 01:00:00+01:00,49.98,49.98,49.84,49.84,49.98
2019-01-10 02:00:00+01:00,49.55,49.55,49.55,49.55,49.55
2019-01-10 03:00:00+01:00,49.98,49.98,49.53,49.53,49.98
2019-01-10 04:00:00+01:00,49.94,49.94,49.53,49.53,49.94
2019-01-10 05:00:00+01:00,51.9,51.9,49.77,49.77,51.9
2019-01-10 06:00:00+01:00,56.61,56.61,50.46,50.46,56.61
2019-01-10 07:00:00+01:00,70.86,70.86,50.43,50.43,70.86
2019-01-10 08:00:00+01:00,79.23,79.23,50.56,50.56,79.23
2019-01-10 09:00:00+01:00,79.17,79.17,50.45,50.45,79.17
2019-01-10 10:00:00+01:00,78.55,78.55,50.24,50.24,78.55
2019-01-10 11:00:00+01:00,77.44,77.44,50.22,50.22,77.44
2019-01-10 12:00:00+01:00,69.66,69.66,50.11,50.11,69.66
2019-01-10 13:00:00+01:00,63.61,63.61,50.13,50.13,63.61
2019-01-10 14:00:00+01:00,59.94,59.94,50.02,50.02,59.94
2019-01-10 15:00:00+01:00,59.01,59.01,49.96,49.96,59.01
2019-01-10 16:00:00+01:00,59.57,59.57,49.87,49.87,59.57
2019-01-10 17:00:00+01:00,59.21,59.21,49.93,49.93,59.21
2019-01-10 18:00:00+01:00,56.38,56.38,49.92,49.92,56.38
2019-01-10 19:00:00+01:00,54.28,54.28,49.88,49.88,54.28
2019-01-10 20:00:00+01:00,52.78,52.78,49.9,49.9,52.78
2019-01-10 21:00:00+01:00,52.01,52.01,50.14,50.14,52.01
2019-01-10 22:00:00+01:00,50.48,50.48,49.99,49.99,50.48
2019-01-10 23:00:00+01:00,49.44,49.44,48.11,48.11,49.44
2019-01-11 00:00:00+01:00,47.84,47.84,47.84,47.84,47.84
2019-01-11 01:00:00+01:00,46.58,46.58,46.58,46.58,46.58
2019-01-11 02:00:00+01:00,46.93,46.93,45.74,45.74,46.93
2019-01-11 03:00:00+01:00,47.48,47.48,43.81,43.81,47.48
2019-01-11 04:00:00+01:00,46.49,46.49,46.24,46.24,46.49
2019-01-11 05:00:00+01:00,47.69,47.69,47.69,47.69,47.69
2019-01-11 06:00:00+01:00,50.06,50.06,50.0,50.0,50.06
2019-01-11 07:00:00+01:00,53.03,53.03,49.74,49.74,53.03
2019-01-11 08:00:00+01:00,54.25,54.25,49.96,49.96,54.25
2019-01-11 09:00:00+01:00,53.69,53.69,49.96,49.96,53.69
2019-01-11 10:00:00+01:00,53.63,53.63,49.76,49.76,53.63
2019-01-11 11:00:00+01:00,53.32,53.32,49.64,49.64,53.32
2019-01-11 12:00:00+01:00,51.89,51.89,49.64,49.64,51.89
2019-01-11 13:00:00+01:00,50.8,50.8,49.53,49.53,50.8
2019-01-11 14:00:00+01:00,49.33,49.33,49.26,49.26,49.33
2019-01-11 15:00:00+01:00,49.07,49.07,49.07,49.07,49.07
2019-01-11 16:00:00+01:00,49.54,49.54,49.54,49.54,49.54
2019-01-11 17:00:00+01:00,51.51,51.51,49.45,49.45,51.51
2019-01-11 18:00:00+01:00,50.44,50.44,49.49,49.49,50.44
2019-01-11 19:00:00+01:00,49.64,49.64,49.54,49.54,49.64
2019-01-11 20:00:00+01:00,49.53,49.53,48.93,48.93,49.53
2019-01-11 21:00:00+01:00,48.93,48.93,48.34,48.34,48.93
2019-01-11 22:00:00+01:00,47.99,47.99,47.54,47.54,47.99
2019-01-11 23:00:00+01:00,47.4,47.4,45.03,45.03,47.4
2019-01-12 00:00:00+01:00,48.35,48.35,47.24,47.24,48.35
2019-01-12 01:00:00+01:00,48.02,48.02,45.88,45.88,48.02
2019-01-12 02:00:00+01:00,48.09,48.09,45.69,45.69,48.09
2019-01-12 03:00:00+01:00,47.67,47.67,45.68,45.68,47.67
2019-01-12 04:00:00+01:00,47.8,47.8,45.72,45.72,47.8
2019-01-12 05:00:00+01:00,47.57,47.57,45.87,45.87,47.57
2019-01-12 06:00:00+01:00,47.7,47.7,46.31,46.31,47.7
2019-01-12 07:00:00+01:00,48.52,48.52,46.39,46.39,48.52
2019-01-12 08:00:00+01:00,48.74,48.74,48.02,48.02,48.74
2019-01-12 09:00:00+01:00,49.91,49.91,49.91,49.91,49.91
2019-01-12 10:00:00+01:00,50.3,50.3,50.3,50.3,50.3
2019-01-12 11:00:00+01:00,50.32,50.32,50.32,50.32,50.32
2019-01-12 12:00:00+01:00,50.32,50.32,50.32,50.32,50.32
2019-01-12 13:00:00+01:00,49.95,49.95,49.95,49.95,49.95
2019-01-12 14:00:00+01:00,50.09,50.09,50.09,50.09,50.09
2019-01-12 15:00:00+01:00,50.82,50.82,50.82,50.82,50.82
2019-01-12 16:00:00+01:00,51.7,51.7,51.7,51.7,51.7
2019-01-12 17:00:00+01:00,52.96,52.96,52.96,52.96,52.96
2019-01-12 18:00:00+01:00,52.33,52.33,52.33,52.33,52.33
2019-01-12 19:00:00+01:00,51.23,51.23,51.23,51.23,51.23
2019-01-12 20:00:00+01:00,50.02,50.02,50.02,50.02,50.02
2019-01-12 21:00:00+01:00,50.12,50.12,49.23,49.23,50.12
2019-01-12 22:00:00+01:00,49.16,49.16,48.29,48.29,49.16
2019-01-12 23:00:00+01:00,49.12,49.12,47.22,47.22,49.12
2019-01-13 00:00:00+01:00,50.26,50.26,49.02,49.02,50.26
2019-01-13 01:00:00+01:00,49.51,49.51,48.18,48.18,49.51
2019-01-13 02:00:00+01:00,48.99,48.99,48.06,48.06,48.99
2019-01-13 03:00:00+01:00,48.7,48.7,48.03,48.03,48.7
2019-01-13 04:00:00+01:00,48.59,48.59,47.5,47.5,48.59
2019-01-13 05:00:00+01:00,48.52,48.52,47.33,47.33,48.52
2019-01-13 06:00:00+01:00,48.1,48.1,47.42,47.42,48.1
2019-01-13 07:00:00+01:00,48.61,48.61,47.53,47.53,48.61
2019-01-13 08:00:00+01:00,48.88,48.88,48.0,48.0,48.88
2019-01-13 09:00:00+01:00,48.9,48.9,48.78,48.78,48.9
2019-01-13 10:00:00+01:00,49.47,49.47,49.47,49.47,49.47
2019-01-13 11:00:00+01:00,49.85,49.85,49.85,49.85,49.85
2019-01-13 12:00:00+01:00,49.87,49.87,49.87,49.87,49.87
2019-01-13 13:00:00+01:00,49.36,49.36,49.36,49.36,49.36
2019-01-13 14:00:00+01:00,49.12,49.12,48.73,48.73,49.12
2019-01-13 15:00:00+01:00,49.21,49.21,49.21,49.21,49.21
2019-01-13 16:00:00+01:00,50.17,50.17,50.17,50.17,50.17
2019-01-13 17:00:00+01:00,50.29,50.29,50.29,50.29,50.29
2019-01-13 18:00:00+01:00,49.9,49.9,49.57,49.57,49.9
2019-01-13 19:00:00+01:00,50.07,50.07,48.63,48.63,50.07
2019-01-13 20:00:00+01:00,49.87,49.87,47.3,47.3,49.87
2019-01-13 21:00:00+01:00,49.19,49.19,47.01,47.01,49.19
2019-01-13 22:00:00+01:00,48.94,48.94,47.4,47.4,48.94
2019-01-13 23:00:00+01:00,49.1,49.1,47.22,47.22,49.1
2019-01-14 00:00:00+01:00,48.06,48.06,47.22,47.22,48.06
2019-01-14 01:00:00+01:00,47.83,47.83,47.06,47.06,47.83
2019-01-14 02:00:00+01:00,48.02,48.02,46.89,46.89,48.02
2019-01-14 03:00:00+01:00,47.9,47.9,46.83,46.83,47.9
2019-01-14 04:00:00+01:00,47.25,47.25,46.78,46.78,47.25
2019-01-14 05:00:00+01:00,48.21,48.21,46.95,46.95,48.21
2019-01-14 06:00:00+01:00,48.8,48.8,48.07,48.07,48.8
2019-01-14 07:00:00+01:00,51.22,51.22,51.22,51.22,51.22
2019-01-14 08:00:00+01:00,51.66,51.66,51.66,51.66,51.66
2019-01-14 09:00:00+01:00,50.68,50.68,50.68,50.68,50.68
2019-01-14 10:00:00+01:00,50.6,50.6,50.6,50.6,50.6
2019-01-14 11:00:00+01:00,50.27,50.27,50.27,50.27,50.27
2019-01-14 12:00:00+01:00,49.89,49.89,49.89,49.89,49.89
2019-01-14 13:00:00+01:00,49.92,49.92,49.92,49.92,49.92
2019-01-14 14:00:00+01:00,50.07,50.07,50.04,50.04,50.07
2019-01-14 15:00:00+01:00,50.18,50.18,50.18,50.18,50.18
2019-01-14 16:00:00+01:00,50.93,50.93,50.93,50.93,50.93
2019-01-14 17:00:00+01:00,51.25,51.25,51.25,51.25,51.25
2019-01-14 18:00:00+01:00,50.93,50.93,50.93,50.93,50.93
2019-01-14 19:00:00+01:00,50.52,50.52,50.52,50.52,50.52
2019-01-14 20:00:00+01:00,50.47,50.47,49.61,49.61,50.47
2019-01-14 21:00:00+01:00,50.63,50.63,47.67,47.67,50.63
2019-01-14 22:00:00+01:00,50.03,50.03,47.83,47.83,50.03
2019-01-14 23:00:00+01:00,49.0,49.0,47.62,47.62,49.0
2019-01-15 00:00:00+01:00,48.22,48.22,47.75,47.75,48.22
2019-01-15 01:00:00+01:00,47.61,47.61,47.6,47.6,47.61
2019-01-15 02:00:00+01:00,47.47,47.47,47.47,47.47,47.47
2019-01-15 03:00:00+01:00,47.57,47.57,47.57,47.57,47.57
2019-01-15 04:00:00+01:00,47.66,47.66,47.66,47.66,47.66
2019-01-15 05:00:00+01:00,48.46,48.46,48.46,48.46,48.46
2019-01-15 06:00:00+01:00,50.91,50.91,50.91,50.91,50.91
2019-01-15 07:00:00+01:00,53.73,53.73,53.73,53.73,53.73
2019-01-15 08:00:00+01:00,57.02,57.02,55.86,55.86,57.02
2019-01-15 09:00:00+01:00,58.38,58.38,56.79,56.79,58.38
2019-01-15 10:00:00+01:00,56.54,56.54,56.54,56.54,56.54
2019-01-15 11:00:00+01:00,55.0,55.0,55.0,55.0,55.0
2019-01-15 12:00:00+01:00,53.92,53.92,53.92,53.92,53.92
2019-01-15 13:00:00+01:00,53.31,53.31,53.31,53.31,53.31
2019-01-15 14:00:00+01:00,52.63,52.63,52.63,52.63,52.63
2019-01-15 15:00:00+01:00,52.63,52.12,52.63,52.63,52.63
2019-01-15 16:00:00+01:00,53.91,52.32,53.91,53.91,53.91
2019-01-15 17:00:00+01:00,54.5,53.86,54.5,54.5,54.5
2019-01-15 18:00:00+01:00,54.27,52.54,54.27,54.27,54.27
2019-01-15 19:00:00+01:00,53.32,52.76,53.32,53.32,53.32
2019-01-15 20:00:00+01:00,52.5,52.5,52.5,52.5,52.5
2019-01-15 21:00:00+01:00,51.65,51.65,51.65,51.65,51.65
2019-01-15 22:00:00+01:00,50.4,50.4,50.4,50.4,50.4
2019-01-15 23:00:00+01:00,48.66,48.66,48.66,48.66,48.66
2019-01-16 00:00:00+01:00,49.48,49.48,49.48,49.48,49.48
2019-01-16 01:00:00+01:00,49.01,49.01,49.01,49.01,49.01
2019-01-16 02:00:00+01:00,48.91,48.91,48.91,48.91,48.91
2019-01-16 03:00:00+01:00,49.06,49.06,49.06,49.06,49.06
2019-01-16 04:00:00+01:00,49.12,49.12,49.12,49.12,49.12
2019-01-16 05:00:00+01:00,51.06,51.06,51.06,51.06,51.06
2019-01-16 06:00:00+01:00,52.82,52.64,52.82,52.82,52.82
2019-01-16 07:00:00+01:00,56.67,53.8,56.67,56.67,56.6
2019-01-16 08:00:00+01:00,59.41,55.73,59.41,59.41,56.69
2019-01-16 09:00:00+01:00,56.37,53.83,56.37,56.37,56.37
2019-01-16 10:00:00+01:00,55.56,54.22,55.56,55.56,55.56
2019-01-16 11:00:00+01:00,54.92,54.92,54.92,54.92,54.92
2019-01-16 12:00:00+01:00,54.15,53.65,54.15,54.15,54.15
2019-01-16 13:00:00+01:00,53.16,52.69,53.16,53.16,53.16
2019-01-16 14:00:00+01:00,53.55,53.55,53.55,53.55,53.55
2019-01-16 15:00:00+01:00,53.72,53.72,53.72,53.72,53.72
2019-01-16 16:00:00+01:00,54.83,54.83,54.83,54.83,54.83
